Question,Correct Answer
A Backend For Frontend (BFF) sends a message to a single known queue. What kind of message is it likely to be?,A command
"A company is implementing a microservice architecture for a digital transformation of a monolithic application. After decoupling services and creating a microservice approach, the company uses a Transaction Script pattern for some of the services. What strategic benefit would this provide?",It allows for better alignment of the database procedures with storage decisions.
A decoupled service running in a cloud environment must handle increased load. You want to get the best possible performance increase for the least amount of money. What type of scaling do you choose?,Horizontal scaling
A microservice receives commands asynchronously. How can you ensure that commands are not lost if the microservice is the victim of a database deadlock? ,End the service call without acknowledging the message
"A subscriber polls an event feed, but the call fails. What happens?","The subscriber is unaffected and the call polls the event at a later time, as if it was a new event."
A synchronous microservices communication changes to asynchronous messaging. What is the main problem that occurs because of that change?,Out-of-order messages
"After authentication, what is a secure and efficient way to give every service access to a user's identity?",Store access information in tokens and exchange them between microservices.
"Although decentralized data is fundamental to microservice architecture, building a centralized store of critical reference data is still necessary in larger organizations. What is the benefit of centralized reference data?",It provides a means for microservices to synchronize critical data and an audit log.
"An engineering organization's decentralized governance gives teams the freedom to develop software components using different stacks. This does not mean that software development becomes an environment where anything goes, however. Which is an example of a global standard in this type of organization?",All teams should use a peer code review process.
"For users who have the same authentication credentials in the same gateway, how would you restrict access to specific microservices and allow access to other microservices",Implement Identity Access Manager middleware to handle authorization across services
How can a developer control inconsistencies that result from replaying events?,Enable other services to recognize that a given operation ran in the past with the same parameters.
How can you enable microservice teams to release new code updates faster to test and production environments?,Set up continuous integration/continuous development (CI/CD) pipelines.
How can you maintain an authenticated user state for stateless microservices?,Through session replication
How do you structure a container application using runtime JavaScript integration?,Load each micro frontend in a <script> tag and provide each one with a <div> that it can mount into.
How does a container application participate in authentication?,It invokes the identity provider
How is domain logic organized within a Table Module?,One class per table within the database
How would you address microservices monitoring to manage the complexity that this architecture raises?,"Cover all necessary application and platform metrics for monitoring, while accounting for the complexity of distributed microservices."
"In Kubernetes, what is a service?",A set of pods that handle the same network requests
"Microservices collaborate with each other over the network using potentially different data encoding protocols. Relevant collaborators within a monolith communicate in-memory. As a result, microservices have more communication failure points than in a monolith. How could you reduce the risk of bugs at these failure points?",Write more automated integration tests.
"Service X is trying to listen to an event from service Y, but service Y is down. How can you manage this kind of failure?","Configure a ready event that triggers when service Y is restored, so the listening service, X, can continue working on the pending data."
Two microservices must reference the Customer entity. What is likely to be true?,The microservices have different Customer data types.
Two microservices subscribe to price change events. The microservices occasionally cache different prices for the same product and do not self-correct. Why?,They both follow the last-writer-wins strategy.
What are the principles of reactive systems?,"Responsive, resilient, elastic, and message-driven"
